pred_person,true_person,pred_rank,true_rank,pred_title_or_role,true_title_or_role,pred_organization,true_organization,line_number,source_uuid,link_to_ann
Chris Olukolade,Chris Olukolade,['Maj-Gen'],['Maj-Gen'],[],[],[],[],3,a59c863d-ca68-4191-9778-69f31a816d9c,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/a59c863d-ca68-4191-9778-69f31a816d9c.txt
Goodluck Jonathan,,[],[],[],[],[],[],16,a59c863d-ca68-4191-9778-69f31a816d9c,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/a59c863d-ca68-4191-9778-69f31a816d9c.txt
Mohammed Bolari,,[],[],[],[],[],[],18,a59c863d-ca68-4191-9778-69f31a816d9c,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/a59c863d-ca68-4191-9778-69f31a816d9c.txt
Mike Omeri,,[],[],[],[],['National Information Centre'],[],25,a59c863d-ca68-4191-9778-69f31a816d9c,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/a59c863d-ca68-4191-9778-69f31a816d9c.txt
Ban Ki,,[],[],[],[],"['Security Council', 'UN']",[],27,a59c863d-ca68-4191-9778-69f31a816d9c,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/a59c863d-ca68-4191-9778-69f31a816d9c.txt
HU KATSINA,,['Maj Gen'],[],[],[],[],[],13,493ac34f-6d9a-40ff-9843-5d7de6d3525c,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/493ac34f-6d9a-40ff-9843-5d7de6d3525c.txt
Ejoor,,['Maj Gen'],[],[],[],[],[],14,493ac34f-6d9a-40ff-9843-5d7de6d3525c,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/493ac34f-6d9a-40ff-9843-5d7de6d3525c.txt
S IBRAHIM,,['Lt Gen'],[],[],[],[],[],21,493ac34f-6d9a-40ff-9843-5d7de6d3525c,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/493ac34f-6d9a-40ff-9843-5d7de6d3525c.txt
MOHAMMED,,['Lt Gen'],[],[],[],[],[],22,493ac34f-6d9a-40ff-9843-5d7de6d3525c,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/493ac34f-6d9a-40ff-9843-5d7de6d3525c.txt
Kazir,,['Maj Gen'],[],[],[],[],[],24,493ac34f-6d9a-40ff-9843-5d7de6d3525c,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/493ac34f-6d9a-40ff-9843-5d7de6d3525c.txt
I BAMAIYI,,['Lt Gen'],[],[],[],[],[],25,493ac34f-6d9a-40ff-9843-5d7de6d3525c,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/493ac34f-6d9a-40ff-9843-5d7de6d3525c.txt
SVL MALU,,['Lt Gen'],[],[],[],[],[],26,493ac34f-6d9a-40ff-9843-5d7de6d3525c,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/493ac34f-6d9a-40ff-9843-5d7de6d3525c.txt
Ogomudia,,['Lt Gen'],[],[],[],[],[],27,493ac34f-6d9a-40ff-9843-5d7de6d3525c,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/493ac34f-6d9a-40ff-9843-5d7de6d3525c.txt
ML AGWAI,,['Lt Gen'],[],[],[],[],[],28,493ac34f-6d9a-40ff-9843-5d7de6d3525c,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/493ac34f-6d9a-40ff-9843-5d7de6d3525c.txt
OA Azazi,,['Lt Gen'],[],[],[],[],[],29,493ac34f-6d9a-40ff-9843-5d7de6d3525c,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/493ac34f-6d9a-40ff-9843-5d7de6d3525c.txt
LN Yusuf,,['Lt Gen'],[],[],[],[],[],30,493ac34f-6d9a-40ff-9843-5d7de6d3525c,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/493ac34f-6d9a-40ff-9843-5d7de6d3525c.txt
AB Dambazau,,['Lt Gen'],[],[],[],[],[],31,493ac34f-6d9a-40ff-9843-5d7de6d3525c,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/493ac34f-6d9a-40ff-9843-5d7de6d3525c.txt
